"","band","count"
"1","[-180,-160]",51
"2","(-160,-140]",36
"3","(-140,-120]",38
"4","(-120,-100]",39
"5","(-100,-80]",41
"6","(-80,-60]",47
"7","(-60,-40]",41
"8","(-40,-20]",48
"9","(-20,0]",48
"10","(0,20]",39
"11","(20,40]",47
"12","(40,60]",48
"13","(60,80]",43
"14","(80,100]",48
"15","(100,120]",55
"16","(120,140]",42
"17","(140,160]",49
"18","(160,180]",44
"19",NA,191
